"TIME","Pout=(Vout*Iout)"
-0.00178,4.91922e-013
6.599329518e-006,4.93835e-013
9.531582065e-006,4.94776e-013
1.325391685e-005,4.95653e-013
1.684112942e-005,4.96645e-013
2.030119971e-005,4.97328e-013
2.368767566e-005,4.98163e-013
2.730252138e-005,4.98768e-013
3.086935468e-005,4.99541e-013
3.444142212e-005,5.00038e-013
3.6386e-005,5.00432e-013
3.926683549e-005,5.00872e-013
4.128389001e-005,5.01094e-013
4.477595743e-005,5.01702e-013
4.843994905e-005,5.02055e-013
5.198306768e-005,5.026e-013
5.550897625e-005,5.02872e-013
5.773281884e-005,5.03198e-013
5.775659118e-005,5.03202e-013
5.781393151e-005,5.03211e-013
5.783037544e-005,5.03213e-013
5.789654063e-005,5.03223e-013
5.790610085e-005,5.03224e-013
5.791758631e-005,5.03186e-013
5.792414249e-005,5.03011e-013
5.793082005e-005,5.02419e-013
5.793522773e-005,5.01618e-013
5.793603779e-005,5.0157e-013
5.793673859e-005,5.01834e-013
5.793726413e-005,5.02407e-013
5.793799059e-005,5.04061e-013
5.793898105e-005,5.08735e-013
5.794029761e-005,5.21315e-013
5.794166947e-005,5.4516e-013
5.794203564e-005,5.53781e-013
5.794224186e-005,5.59119e-013
5.794246768e-005,5.65378e-013
5.794266196e-005,5.71121e-013
5.794296661e-005,5.80809e-013
5.794319903e-005,5.8878e-013
5.794353823e-005,6.01348e-013
5.79440215e-005,6.21263e-013
5.794481376e-005,6.59398e-013
5.794516516e-005,6.78647e-013
5.794534653e-005,6.89177e-013
5.79455209e-005,6.99692e-013
5.794570909e-005,7.11479e-013
5.794588445e-005,7.22882e-013
5.794613882e-005,7.40155e-013
5.794629761e-005,7.51387e-013
5.794655237e-005,7.70146e-013
5.794681674e-005,7.90601e-013
5.794726162e-005,8.2737e-013
5.794771729e-005,8.68223e-013
5.794843238e-005,9.39248e-013
5.794918925e-005,1.02431e-012
5.794975686e-005,1.09531e-012
5.795036843e-005,1.17922e-012
5.795099464e-005,1.27367e-012
5.795209143e-005,1.46172e-012
5.795394229e-005,1.85333e-012
5.795588089e-005,2.38175e-012
5.795954519e-005,3.80093e-012
5.796304138e-005,5.82452e-012
5.796806206e-005,1.03009e-011
5.797488778e-005,2.05906e-011
5.79814723e-005,3.70568e-011
5.799464133e-005,9.95549e-011
5.80066602e-005,2.08756e-010
5.803069793e-005,6.772e-010
5.805360846e-005,1.62585e-009
5.809005007e-005,4.84843e-009
5.812878446e-005,1.20158e-008
5.819289072e-005,3.83263e-008
5.827375805e-005,1.15553e-007
5.835696066e-005,2.80374e-007
5.849191714e-005,8.57021e-007
5.862973845e-005,2.08366e-006
5.883167907e-005,5.79707e-006
5.907705575e-005,1.5264e-005
5.940515671e-005,4.18592e-005
5.990312868e-005,0.000133875
6.068157737e-005,0.000503198
6.20736624e-005,0.00254506
6.36875e-005,0.00927976
6.374520154e-005,0.00964992
